абажур, абажурчик
абвер, абверовский
абиогенез, абиогенный
абиссаль, абиссальный
аборигенный, аборигены
авантюра, авантюрный
авантюризм, авантюристический
аварийный, авария
авианосец, авианосный
авиапочта, авиапочтовый
авиаспорт, авиаспортивный
аврал, авральный
автобус, автобусик
автоклав, автоклавный
автолюбитель, автолюбительский
автомагистраль, автомагистральный
автомобиль, автомобильчик
автопогрузочный, автопогрузчик
автостоянка, автостояночный
автотурист, автотуристский
автохтонный, автохтоны
агар, агаровый
агглютинативный, агглютинация
агентура, агентурный
агностицизм, агностический
агрокультура, агрокультурный
агролесомелиоративный, агролесомелиорация
агромелиоративный, агромелиорация
ад, адов
адвективный, адвекция
адгезионный, адгезия
аденовирусный, аденовирусы
аденоидный, аденоиды
административный, администрация
адмирал, адмиральский
адоптация, адоптивный
ажиотаж, ажиотажный
азимут, азимутальный
аист, аистиный
айва, айвовый
акаде, академический
академизм, академический
акварель, акварелька
аккомпанемент, аккомпанементный
аккорд, аккордовый
акмеизм, акмеистический
аксиома, аксиоматический
актёр, актёрский
акула, акулий
алгебра, алгебраический
алгоритм, алгоритмический
алебарда, алебардный
алиментный, алименты
алкоголик, алкоголический
аллохтонный, аллохтоны
алмаз, алмазик
алойный, алоэ
алыча, алычовый
альбом, альбомчик
альвеола, альвеолярный
альдегидный, альдегиды
альманах, альманашный
альтруизм, альтруистичный
амальгама, амальгамный
амбар, амбарик, амбарчик
амбразура, амбразурный
амбулатория, амбулаторный
амортизатор, амортизаторный
амплитуда, амплитудный
амфибрахий, амфибрахический
амёба, амёбный
анабиоз, анабиотический
анализ, аналитический
анамнез, анамнестический
ананас, ананасик
анапест, анапестический
анархизм, анархический
анархо, анархо-синдикалистский
анафора, анафорический
анахорет, анахоретский
анахронизм, анахронический
анаэробный, анаэробы
ангел, ангелок, ангельский
англомания, англоманский
анид, анидный
анимализм, анималистический
анимизм, анимистический
анкета, анкетный
аннексионистский, аннексия
аномалия, аномальный
антагонизм, антагонистичный
антенна, антенный
антибиотики, антибиотический
антивещественный, антивещество
антигенный, антигены
антикоммунизм, антикоммунистический
антиобледенитель, антиобледенительный
антисемитизм, антисемитский
антисоветизм, антисоветский
антистатик, антистатический
антитеза, антитетический, антитетичный
антитезис, антитетический
антитоксины, антитоксический
антоним, антонимический
антоновка, антоновский
антрепренёр, антрепренёрский
антресоли, антресольный
антропоморфизм, антропоморфический
антропоноз, антропонозный
анфилада, анфиладный
анчоус, анчоусовый
апокалипсис, апокалиптический
апокриф, апокрифический
апостол, апостольский
апофеоз, апофеозный
аппарат, аппаратик
аппаратура, аппаратурный
аппретура, аппретурный
аптека, аптечка
арабески, арабесковый
аралиевый, аралия
арбуз, арбузик
ареал, ареальный
арека, арековый
аренда, арендный
ариозный, ариозо
арка, арочка
аркадия, аркадский
аркатура, аркатурный
аркебуз, аркебузный
арматура, арматурный
армейский, армия
армяк, армячный
арника, арниковый
артериальный, артерия
артист, артистический
артишок, артишоковый
архидьякон, архидьяконский
архипастырский, архипастырь
архитектура, архитектурный
арча, арчовый
асбестоцемент, асбестоцементный
асессор, асессорский
аскетизм, аскетический
ассамблейный, ассамблея
ассигнации, ассигнационный
ассимилятивный, ассимиляция
ассоциативный, ассоциация
ассоциация, ассоциированный
астигматизм, астигматический
астма, астматический
астролябический, астролябия
астрометрический, астрометрия
астронавигационный, астронавигация
астронавтика, астронавтический
асфальтирование, асфальтировочный
атавизм, атавистический
атеизм, атеистический
атеросклероз, атеросклеротический
атмосфера, атмосферный
атомизм, атомистический
атрибут, атрибутивный
афиша, афишный
афоризм, афористичный
аффект, аффективный
аффикс, аффиксальный
ашуг, ашугский
аэробный, аэробы
аэроплан, аэропланный
аэропорт, аэропортовский
баба, бабий
багор, багорок
базальт, базальтический
бай, байский
байбак, байбачий
байдара, байдарный
байка, байковый
байронизм, байронический
бак, баковый
бакалейный, бакалея
бакаут, бакаутовый
баки, бачки
баклан, бакланий
бактериальный, бактерии
балаган, балаганчик
балалаечка, балалайка
балалаечный, балалайка
балахон, балахончик
балерина, балеринка, балеринский
балка, балочка
балл, балльный
баллада, балладный
бальза, бальзовый
бальзам, бальзамический
балясина, балясинка, балясниковый
бандероль, бандеролька
банка, баночный
банкнотный, банкноты
банлон, банлоновый
бант, бантовой
баньян, баньяновый
баран, бараний, баранчик, барашек
барашки, барашковый
бареж, барежевый
барельеф, барельефчик
баржа, баржевый
бариевый, барий
барин, барский
барка, барочка
барометр, барометрический
баррикада, баррикадный
барственный, барство
барсук, барсучий, барсучок
барханный, барханы
барщина, барщинный
барьер, барьерчик
бас, басок
басенка, басня
басенный, басня
басма, басменный
басмач, басмаческий
батарейный, батарея
батиаль, батиальный
батог, батожок
батрак, батрацкий
баул, баульчик
бахча, бахчевой
бахчеводство, бахчеводческий
башенный, башня
башлык, башлычок
башмаки, башмачки, башмачный
баштан, баштанный
бегемот, бегемотовый
бедняга, бедняжка
бедняк, бедняцкий
бедренный, бедро
беженец, беженский
бекас, бекасиный
бекеша, бекешка
беление, белильный
беличий, белка
белки, белочный
белковый, белок
белогвардеец, белогвардейский
беломестный, беломестцы
белорыбий, белорыбица
белуга, белужий
белуха, белуший
бельевой, бельё
бельецо, бельё
бельковый, белёк
бенедиктинский, бенедиктинцы
бентонит, бентонитовый
берданка, берданочный
берег, бережок
березник, березничек
березняк, березнячок
береста, берестяной
беркут, беркутиный
берлога, берложный
берёза, берёзка, берёзовый
берёста, берёстка
бес, бесёнок, бесовский
беседка, беседочка
беспоповский, беспоповщина
бессемерование, бессемеровский
бестер, бестеровый
бетатрон, бетатронный
бетоновоз, бетоновозный
бечева, бечевой
бечёвка, бечёвочный
библиотекарский, библиотекарь
бивуак, бивуачный
биметалл, биметаллический
биметаллизм, биметаллический
биноклевый, бинокль
бинт, бинтик
биобиблиографический, биобиблиография
биогеографический, биогеография
биокибернетика, биокибернетический
бионика, бионический
биостимулирующий, биостимулятор
биотелеметрический, биотелеметрия
биплан, биплановый
биржа, биржевой
бирюк, бирючий
благовещение, благовещенский
благодарность, благодарственный
блин, блинок, блинчатый
блиндаж, блиндажик
блокада, блокадный
блокнот, блокнотик
блондовый, блонды
блоха, блошиный
боб, бобовый
бобслей, бобслейный
бобылий, бобыль
бог, божок
богадельный, богадельня
богара, богарный
богатырский, богатырь
богословие, богословский
бодряк, бодряческий
боевой, бой
боец, бойцовский
божественный, божество
бок, бочок
бокал, бокальчик
боксёр, боксёрский
болевой, боль
болотина, болотинка
болт, болтовой
болтун, болтунишка
бомба, бомбочка
бомбардировочный, бомбардировщик
бондарский, бондарь
бор, боровой, борок
боргес, боргесный
бордюр, бордюрчик
борец, борцовский
бородавка, бородавочка
бороздка, бороздочка
борона, боронка, боронный
бороновальный, боронование
борт, бортик
бортевой, борть
боскет, боскетный
босяк, босяцкий
бот, ботик, ботовый
ботики, боты
ботинки, ботиночки, ботиночный
бочаг, бочажный, бочажок
бочечка, бочка
боярин, боярский
бракераж, бракеражный
брамин, браминский
брандвахта, брандвахтенный
браный, брань
брат, братишка, братский
братоубийственный, братоубийство
бревно, бревёшко, брёвнышко
бред, бредовой
бретёр, бретёрский
бригада, бригадный
бриллиант, бриллиантик
брильянт, брильянтик
